NSE_code,Industry,Current_price,Fcf 3years,Fcf 5years,Fcf 7years,Fcf 10years,Market_capitalization,avg_fcf,intrinsic_value,undervalued_score
MAHABANK,Banks - Public Sector,64.42,16282.52,19124.63,6298.35,15216.69,45618.24,14230.5475,11884.1529930716,11819.7329930716
OIL,Oil Drilling / Allied Services,719.8,8329.4,13625.01,17415.53,17403.96,78055.44,14193.475,11853.19316796047,11133.39316796047
ULTRACEMCO,Cement - North India,11748.8,8719.69,26666.84,32979.68,40491.68,339184.68,27214.472499999996,22727.232020815765,10978.432020815766
BEL,Electronics - Components,308.5,8353.66,14803.65,14096.41,16059.17,225506.64,13328.2225,11130.60725988928,10822.10725988928
MOTHERSON,Auto Ancillaries,197.15,6045.45,13322.05,15182.35,18011.65,133597.18,13140.375,10973.732871931543,10776.582871931543
BAJAJ-AUTO,Automobiles - Scooters And 3 - Wheelers,9629.9,13831.12,20267.56,26790.82,35098.78,268847.29,23997.07,20040.328825398232,10410.428825398232
RELIGARE,Finance & Investments,242.35,4501.89,8267.14,17565.37,20477.97,7997.86,12703.092499999999,10608.551410628466,10366.201410628466
MRPL,Refineries,215.55,15055.39,10135.04,13485.22,10664.97,37777.26,12335.155,10301.281044404801,10085.731044404802
CIPLA,Pharmaceuticals - Indian - Bulk Drugs & Formln,1488.3,7565.85,12612.42,14523.09,17042.61,120182.9,12935.9925,10803.04984662233,9314.749846622331
SOUTHBANK,Banks - Private Sector,27.02,4659.09,10966.88,13251.72,15739.51,7068.57,11154.3,9315.130547901867,9288.110547901866
PTC,Trading,204.9,9061.44,14457.7,12593.08,9134.02,6065.25,11311.560000000001,9446.460835769602,9241.560835769602
HEROMOTOCO,Automobiles - Motorcycles / Mopeds,5693.1,7743.21,15510.15,18762.75,24582.59,113822.74,16649.675,13904.40423918471,8211.30423918471
CESC,Power Generation And Supply,161.0,4603.9,9230.42,12279.87,13689.7,21341.66,9950.9725,8310.212914847316,8149.212914847316
ASIANPAINT,Paints / Varnishes,2915.2,6861.76,12962.06,15002.71,18053.62,279625.36,13220.037499999999,11040.260272778949,8125.060272778949
ICICIGI,Finance & Investments,1817.25,5124.5,9949.97,15125.27,17009.28,89617.79,11802.255,9856.247911982604,8038.997911982604
DLF,Construction,824.0,8171.55,9917.96,10937.54,13405.83,203965.69,10608.22,8859.09059114992,8035.090591149919
GSPL,Miscellaneous,299.9,5068.22,9176.94,11390.88,13201.2,16920.74,9709.310000000001,8108.39677792861,7808.496777928611
PFS,Finance & Investments,46.97,7169.5,11708.34,10629.64,7816.69,3016.82,9331.0425,7792.49966699126,7745.52966699126
HINDPETRO,Refineries,333.05,5042.98,2940.49,4562.1,23886.91,70867.12,9108.119999999999,7606.333597442776,7273.283597442776
NESTLEIND,Food - Processing - MNC,2571.0,5998.38,10121.79,13633.4,17174.34,247884.85,11731.9775,9797.558071555131,7226.558071555131
MARUTI,Automobiles - Passenger Cars,12125.0,9166.7,15790.4,25591.8,41932.7,381213.08,23120.399999999998,19308.207984338806,7183.2079843388055
CHAMBLFERT,Fertilizers,519.7,5575.21,12460.09,8876.21,9489.96,20821.91,9100.3675,7599.859363329241,7080.159363329241
GODREJCP,Personal Care - Indian,1382.75,5405.05,8706.91,11639.89,14773.19,141430.5,10131.26,8460.773828455061,7078.023828455061
JSL,Steel - Large,815.35,4884.76,7035.85,9505.97,15917.03,67138.75,9335.9025,7796.558329073399,6981.208329073399
NHPC,Power Generation And Supply,100.35,562.85,2935.17,8531.8,21432.36,100801.95,8365.545,6986.197590108543,6885.847590108543
AMBUJACEM,Cement - North India,671.5,1366.49,7605.14,10548.25,14264.93,165398.72,8446.2025,7053.555931032439,6382.055931032439
KARURVYSYA,Banks - Private Sector,209.0,4257.81,9915.83,7441.6,9045.94,16812.73,7665.295,6401.407852862075,6192.407852862075
GESHIP,Shipping,1227.1,6059.22,8457.15,9435.8,10844.46,17518.98,8699.1575,7264.802611482535,6037.702611482535
ZYDUSLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,1066.85,5092.3,9581.9,9701.4,9512.6,107350.09,8472.05,7075.141582918875,6008.291582918875
DABUR,Personal Care - Indian,608.9,3888.44,6909.91,9075.24,11610.31,107916.04,7870.975,6573.174440733342,5964.274440733342
TATACOMM,Telecommunications - Service Provider,1862.35,6563.07,9237.96,9445.36,11634.68,53077.0,9220.2675,7699.989730335098,5837.639730335099
JPPOWER,Power Generation And Supply,19.9,3118.61,4841.89,7418.49,12215.78,13638.37,6898.6925,5761.206104133071,5741.306104133071
LTIM,Computers - Software - Large,5490.0,9194.3,12728.3,14715.9,17009.36,162593.69,13411.965,11200.541932608114,5710.541932608114
IDFC,Finance & Investments,121.3,5085.85,3822.5,6472.79,12431.21,19407.81,6953.0875,5806.632220173801,5685.332220173801
TORNTPHARM,Pharmaceuticals - Indian - Formulations,2813.4,6527.11,9188.52,10431.08,13677.43,95213.96,9956.035,8314.440687849545,5501.040687849545
EIDPARRY,Sugar,768.25,2523.74,8607.2,8293.52,10401.43,13637.78,7456.4725,6227.016914045723,5458.766914045723
SUNTV,Entertainment / Electronic Media Software,761.2,3939.64,6170.63,8296.35,11042.37,29997.71,7362.247500000001,6148.3281414758585,5387.128141475859
RHFL,Finance - Housing,3.5,3525.69,11311.68,6609.66,3530.68,169.77,6244.4275,5214.819160270792,5211.319160270792
MARICO,Solvent Extraction,621.2,3422.0,6326.0,7633.0,9538.23,80422.71,6729.8075,5620.1675967787405,4998.967596778741
CHENNPETRO,Refineries,986.6,7749.55,6025.16,6337.89,7479.29,14691.58,6897.9725,5760.604820861642,4774.004820861642
RAIN,Miscellaneous,160.75,3165.36,4976.91,5957.14,8686.97,5406.84,5696.594999999999,4757.315663333874,4596.565663333874
DRREDDY,Pharmaceuticals - Indian - Bulk Drugs & Formln,6421.85,7154.9,11889.2,14849.6,18850.1,107135.55,13185.949999999999,11011.79326789728,4589.943267897279
COROMANDEL,Fertilizers,1603.9,2734.51,8298.22,8687.14,9426.38,47234.94,7286.5625,6085.122413145263,4481.222413145262
GNFC,Chemicals,723.35,2814.66,4639.2,7093.02,9589.26,10628.98,6034.035,5039.117089876464,4315.767089876464
MPHASIS,Computers - Software - Large,2493.25,5035.24,7561.29,9121.52,10838.65,47145.42,8139.174999999999,6797.152459340271,4303.902459340271
BBTC,Auto Ancillaries,2064.5,4552.36,7145.47,8635.49,9895.88,14404.43,7557.299999999999,6311.219537726149,4246.719537726149
SADBHAV,Construction,28.22,3599.86,5395.95,6586.79,4726.73,484.17,5077.3324999999995,4240.159855177371,4211.939855177371
SADBHIN,Construction,5.8,4104.56,5117.32,5693.84,5051.18,204.28,4991.725,4168.667691762411,4162.867691762411
TATACONSUM,Tea,1093.15,4217.57,6626.23,6585.06,7402.52,104159.13,6207.845,5184.268541830494,4091.1185418304935
TORNTPOWER,Power Generation And Supply,1484.05,2772.74,6734.93,7700.21,9429.94,71325.93,6659.455,5561.415122677159,4077.365122677159
