NSE_code,Industry,Current_price,Fcf 3years,Fcf 5years,Fcf 7years,Fcf 10years,Market_capitalization
MGL,Miscellaneous,1640.65,1306.27,2331.67,3037.12,3747.92,16205.98
HARRMALAYA,Miscellaneous,214,79.55,150.58,157.91,200.57,395.05
INDIAMART,Miscellaneous,2681.1,1402.63,1981.54,2408.44,2346.67,16081.01
HBSL,Finance & Investments,110.6,16.49,20.36,17.86,14.07,78.93
ASTRAZEN,Pharmaceuticals - Multinational,6233.45,165.19,338.37,377.47,388.96,15583.65
HECPROJECT,Engineering - Turnkey Services,120,15.14,11.77,5.62,20.17,121.67
INTELLECT,Computers - Software - Medium / Small,1112.8,580.43,849.26,658.49,274.91,15271.05
JAIBALAJI,Steel - Large,882.9,1023.3,1378.79,1460.46,1102.7,15226.33
BLS,Computers - Software - Medium / Small,369.4,582.24,738.68,934.36,938.81,15209.69
WELSPUNLIV,Textiles - Products,155.4,865.51,1685.08,1972.85,2743.43,15101.91
SANOFI,Pharmaceuticals - Multinational,6550.95,1206.2,2352.7,3048.2,3732.85,15086.84
ANANTRAJ,Construction,441.15,416.29,216.82,1024.86,1056.95,15082.51
AMBER,Electronics - Components,4458.25,67.21,264.22,109.23,204.77,15021.5
FSL,Computers - Software - Medium / Small,213,1934.01,3037.22,3586.97,4123.24,15014.74
ELECON,Engineering,1335.55,811.49,1266,1420.6,1792.42,14984.88
GPIL,Steel - Large,1082.05,1863.2,3179.91,3999.77,4592.32,14709.93
CHENNPETRO,Refineries,986.6,7749.55,6025.16,6337.89,7479.29,14691.58
ZEEL,Entertainment / Electronic Media Software,151.9,530.04,2008.54,2162.24,3707.94,14590.26
PVRINOX,Entertainment / Electronic Media Software,1485.55,1624.38,1498.35,2000.85,1794.28,14578.54
HINDCOMPOS,Auto Ancillaries,524.25,29.88,40.07,79.14,79.6,774.28
HCC,Construction,47.99,873.35,1631.75,3287.95,2889.01,8060.85
HINDNATGLS,Glass & Glass Products,25.07,259.18,365.02,768.83,1257.84,224.51
SPLPETRO,Petrochemicals,771,850.18,1366.44,1661.29,1866.86,14497.98
HINDCON,Chemicals,50.6,4.4,10.61,10.85,14.38,259.04
INGERRAND,Compressors / Drilling Equipment,4586.7,360.22,537.69,633.14,729.89,14479.32
HMVL,Entertainment / Electronic Media Software,97.89,100.25,335.69,438.19,765.39,721.17
HINDMOTORS,Automobiles - Passenger Cars,33.32,12.53,14.87,47.68,100.84,695.27
BBTC,Auto Ancillaries,2064.5,4552.36,7145.47,8635.49,9895.88,14404.43
ERIS,Pharmaceuticals - Indian - Formulations,1049.6,65.3,540.3,935.97,1271.48,14280.09
HISARMETAL,Steel - Medium / Small,197.3,18.5,29.66,44.24,57.55,106.55
VTL,Textiles - Cotton/Blended,488.65,844.37,971.99,334.43,3107.03,14130.55
HITECHCORP,Packaging,217.35,126.93,212.92,176.1,216.03,373.33
HLVLTD,Hotels,24.61,131.29,216.15,764.87,1310.29,1622.44
ENGINERSIN,Engineering - Turnkey Services,249.7,63.7,581.76,1668.26,1994.73,14034.19
HBLPOWER,Auto Ancillaries,504,336.86,562.18,878.93,1089.52,13970.62
NEWGEN,Computers - Software - Medium / Small,990.35,451.56,689.41,744.95,761.5,13893.77
PRAJIND,Engineering,742,406.94,631.32,735.86,912.05,13638.92
EIDPARRY,Sugar,768.25,2523.74,8607.2,8293.52,10401.43,13637.78
HYBRIDFIN,Finance & Investments,11.53,0.84,0.38,0.51,1.18,33.95
GODREJAGRO,Food - Processing - Indian,687,507.82,239.07,555.22,1299.6,13208.29
AKZOINDIA,Paints / Varnishes,2865.6,806.9,1388.5,1565.7,1974.7,13050.02
WESTLIFE,Hotels,835.2,274.26,428.12,428.32,320.05,13023.76
TANLA,Computers - Software - Medium / Small,964.5,949.57,1581.1,1585.62,1678.4,12968.64
RAINBOW,Healthcare,1264.5,315.59,478.46,417.07,314.76,12834.88
IL&FSENGG,Construction,20,42.18,289.91,325.07,13.46,262.25
IL&FSTRANS,Engineering - Turnkey Services,6.68,715.23,847.07,653.02,1179.6,219.75
IMAGICAA,Recreation / Amusement Parks,77.79,108.73,124.06,213.75,120.3,4218.69
INCREDIBLE,Steel - Medium / Small,43,36.32,41.39,116.78,188.08,201.09
INDSWFTLTD,Pharmaceuticals - Indian - Formulations,21.45,59.63,144.56,168.51,140.65,116.19
INDSWFTLAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,135.3,114.66,359.65,332.32,504.45,799.49
GMDCLTD,Mining / Minerals / Metals,396.9,985.36,1111.46,1217.88,1443.53,12621.42
CUB,Banks - Private Sector,167.65,1460.97,4121.45,4209.72,4697.8,12417.39
BIRLACORPN,Cement - North India,1600.85,1535.94,2416.78,3607.4,4233.57,12328.13
BAJAJELEC,Domestic Appliances,1069.7,1486.12,2735.01,1938.68,2642.44,12326.45
PURVA,Construction,517.2,1124.25,1925.05,1736.39,1761.62,12264.89
INDIANCARD,Textile Machinery,275.35,207.58,182.05,143.27,199.07,163.6
GRANULES,Pharmaceuticals - Indian - Bulk Drugs & Formln,492.1,324.19,777.55,314.01,179.8,11926.94
FORCEMOT,Automobiles - LCVs / HCVs,9030.8,768.67,274.98,30.12,394.19,11902.62
INDTERRAIN,Textiles - Products,77.01,34.19,59.86,56.52,66.93,341.11
INDOBORAX,Chemicals,175.75,131.82,160.16,175.71,192.26,563.99
SCI,Shipping,255,2487.89,4590.91,4820.95,7812.67,11877.89
ECLERX,Computers - Software - Medium / Small,2418,1247.59,1872.69,2290.36,3121.03,11854.34
ZYDUSWELL,Food - Processing - Indian,1854,429.5,933.52,1127.13,1331.51,11797.4
USHAMART,Steel - Medium / Small,386.05,422.81,807.35,2661.57,3904.45,11764.56
INFIBEAM,Computers - Software - Medium / Small,30.81,559.85,613.75,682.79,454.07,8571.33
JUBLPHARMA,Pharmaceuticals - Indian - Bulk Drugs,734.35,189.23,2434.53,3727.38,5727.37,11698.23
VOLTAMP,Electric Equipment,11547.1,406.21,504.52,556.15,611.54,11682.32
MINDACORP,Auto Ancillaries,486.8,233.56,492.76,459.96,727.57,11638.38
JKTYRE,Tyres,441.75,1749.69,4151.97,4910.04,5026.51,11517.44
CEATLTD,Tyres,2845.45,843.17,1412.57,1055.19,1244.57,11509.86
TRIL,Electric Equipment,761.45,26.94,124.62,155.7,300.94,11428.04
INSPIRISYS,Computers - Software - Medium / Small,118.9,26.53,131.42,182.39,198.06,471.05
THOMASCOOK,Travel Agencies,241.8,1140.83,573.61,342.97,646.36,11378.83
INTENTECH,Computers - Software - Medium / Small,147.65,30.88,45.51,33.7,6.27,346.5
CERA,Ceramics - Tiles / Sanitaryware,8650.25,374.66,709.76,806.45,913.66,11250.42
INTLCONV,Miscellaneous,83.92,47.78,97.92,75.8,109.07,531.87
INVENTURE,Finance & Investments,3.01,3.74,9.75,5.67,23.56,252.84
CAPLIPOINT,Pharmaceuticals - Indian - Formulations,1474.4,496.03,659.25,695.46,785.67,11206.96
GRAPHITE,Electrodes - Graphites,566.15,493.49,1211.47,4199.62,4731.4,11061.19
ALKYLAMINE,Chemicals,2153.05,56.83,375.36,417.25,502.26,11008.79
NAVA,Diversified - Large,758.1,4691.9,5813.47,6633.08,4465.73,11000.07
IRIS,Computers - Software - Medium / Small,209,9.54,21.88,15.87,29.41,404.65
SAREGAMA,Entertainment / Electronic Media Software,558.6,12.99,251.75,182.31,201.61,10781.52
GNFC,Chemicals,723.35,2814.66,4639.2,7093.02,9589.26,10628.98
ELECTCAST,Castings & Forgings,176.95,375.72,853.94,1172.28,2543.67,10521.58
JAGRAN,Entertainment / Electronic Media Software,90.7,899.75,1612.73,2101.26,3202.55,1974.12
JAGSNPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,339,89,128.62,153.75,203.92,896.34
JKLAKSHMI,Cement - North India,890.5,109.17,1525.82,2396.43,1974.45,10478.52
JALAN,Miscellaneous,3.7,5.35,11.68,30.31,39.16,5.38
METROPOLIS,Healthcare,2016,617.53,1017.43,1174.07,1343.95,10327.72
JAYAGROGN,Chemicals,318.7,92.73,437.35,506.97,560.9,956.1
JAYNECOIND,Steel - Large,48.74,2004.28,2716.04,3328.76,3852.27,4732.62
MAHSCOOTER,Finance & Investments,8888,531.78,515.81,508.72,453.29,10159.01
JETKNIT,Textiles - Products,120.25,3.97,4.95,2.9,2.18,53
JPOLYINVST,Finance & Investments,895.9,1769.3,1767.5,1766.82,2546.68,941.57
SAFARI,Moulded Luggage,2074.95,81.71,235.53,126.18,80.77,10118.93
NEULANDLAB,Pharmaceuticals - Indian - Bulk Drugs,7828.5,254.48,347.77,233.56,255.84,10043.85
DBREALTY,Construction,186,16.96,356.39,126.04,209.28,10002.87
MOIL,Mining / Minerals / Metals,489.4,30.39,42.52,579.59,402.35,9958.57
JOCIL,Chemicals,205.5,31.38,41.51,72.46,78.3,182.48
ARVIND,Textiles - Cotton/Blended,376.4,1387.21,2538.18,4910.19,5212.19,9847.74
JPASSOCIAT,Construction,10.33,1621.22,3210.55,18059.88,35552.82,2535.62
JPPOWER,Power Generation And Supply,19.9,3118.61,4841.89,7418.49,12215.78,13638.37
GSFC,Fertilizers,247,415.4,1842,1910.12,2230.61,9842.42
GALAXYSURF,Chemicals,2757.5,641.42,1073.65,1277.74,1476.77,9776.61
PCBL,Chemicals,256.4,165.12,737.41,993.96,1689.38,9678.18
IONEXCHANG,Engineering,654.45,54.85,292.07,445.22,627.53,9598.59
ESABINDIA,Electrodes - Welding Equipment,6181.4,286.18,385.67,455.36,496.16,9513.17
MHRIL,Hotels,462.75,1109.63,1789.8,2236.51,2499.36,9345.33
ITDCEM,Construction,544,680.92,1114.33,752.92,1400.8,9345.22
JKPAPER,Paper,545.55,2639.02,1779.91,2657.4,3701.32,9241.75
JMA,Auto Ancillaries,107,21.33,45.98,47.64,50.32,244.4
QUESS,Diversified - Large,616.65,1268.68,2226.91,2356.61,2338.64,9157.79
LTFOODS,Food - Processing - Indian,263.55,1035.97,1774.35,1594.41,1942.12,9151.83
SANDUMA,Mining / Minerals / Metals,551.75,777.13,722.56,746.53,827.12,8940.27
INDIACEM,Cement - South India,287.6,684.91,1721.94,2243.46,4232.31,8912.62
MAHSEAMLES,Steel - Medium / Small,660.2,1625.57,1955.54,1740.32,1910.21,8846.12
PRSMJOHNSN,Cement - North India,173.95,981.12,2372.73,3014.7,3780.62,8755.93
KAMATHOTEL,Hotels,226.05,318.48,377.55,559.5,681.3,585.6
KIRLPNU,Compressors / Drilling Equipment,1349.65,131.51,141.05,140.45,209.75,8744.96
KANANIIND,Diamond Cutting / Jewellery,2.92,13.91,23.07,14.96,14.32,57.77
JUSTDIAL,Miscellaneous,1027.85,435.23,721.3,1186.32,1462.04,8740.86
KARMAENG,Power Generation And Supply,57.24,7.32,21.77,34.52,48.74,66.23
KAUSHALYA,Hotels,745.7,18.74,22.57,27.6,20.29,25.83
KCPSUGIND,Sugar,45.43,174.48,202.17,71.95,123.98,515.09
MASTEK,Computers - Software - Medium / Small,2751.35,752.84,1197.41,1307.14,1367.32,8488.48
SUNTECK,Construction,579,241.22,382.02,201.23,240.48,8481.57
KEYFINSERV,Finance & Investments,165.6,11.48,18.37,18.54,19.23,116.25
KTKBANK,Banks - Private Sector,224.3,1471.76,4607.97,2938.91,3860.57,8466.47
KHAITANLTD,Trading,79.09,12.9,20.78,40.36,54.47,37.57
PGHL,Pharmaceuticals - Multinational,5072,526.12,581.59,680.67,651.06,8419.53
SHRIPISTON,Auto Ancillaries,1901.05,771.37,1042.14,1127.66,1528.84,8374.1
AHLUCONT,Construction,1243.1,381.39,678.56,798.46,1031.2,8327.21
KKVAPOW,Trading,1119.2,5.45,9.26,8.61,5.47,63.44
KOHINOOR,Food - Processing - Indian,42.38,128.63,107.26,351.32,639.26,157.11
AVANTIFEED,Food - Processing - Indian,608,156.88,640.81,1001.84,1317.32,8283.69
WABAG,Engineering,1329.8,214.8,646.32,348.96,89.52,8270.05
KOTHARIPET,Petrochemicals,139.7,61.4,111.19,154.45,179.78,822.07
KOTARISUG,Sugar,59.32,14.95,102.12,159.78,184.64,491.68
SYMPHONY,Domestic Appliances,1197,316.98,529.89,769.09,1022.41,8254.14
GARFIBRES,Textiles - Products,4044.8,387.37,664.34,769.15,1023.06,8242.53
SHOPERSTOP,Textiles - Products,747.55,1062.41,1372.19,1645.02,1529.05,8220.15
KRITI,Plastics Products,188.9,2.85,39.64,55.51,68.31,936.93
KRITINUT,Solvent Extraction,109,35.09,46.51,76.9,69.59,546.15
SARDAEN,Steel - Medium / Small,232,1616.37,1485.33,1690.13,1886.06,8175.24
RELIGARE,Finance & Investments,242.35,4501.89,8267.14,17565.37,20477.97,7997.86
GANESHHOUC,Construction,955.8,526.35,794.25,999.3,824.25,7970.12
FDC,Pharmaceuticals - Indian - Bulk Drugs & Formln,476.65,232.57,627.57,811.64,894.24,7760.36
LAMBODHARA,Textiles - Cotton/Blended,153,2.85,33.16,53.3,67.43,158.78
LANCORHOL,Construction,42.71,168.22,173.62,196.06,203.75,311.77
POWERMECH,Engineering - Turnkey Services,4901.95,381.64,404.12,382.13,338.1,7749.07
SHAKTIPUMP,Pumps,3848.4,14.56,174.87,134.79,151.66,7710.3
AURIONPRO,Computers - Software - Medium / Small,1378.05,175.28,182.03,213.69,217.75,7608.71
LIBERTSHOE,Leather / Leather Products,381,220.04,277.04,315.65,369.18,649.24
RELINFRA,Engineering - Turnkey Services,191.5,8381.3,10424.21,16252.26,33096.73,7585.91
BALAMINES,Chemicals,2336.8,277.3,338.35,295.05,442.81,7571.49
LINC,Printing & Stationery,577.85,36.91,104.77,116.54,116.29,859.4
DHANUKA,Pesticides / Agrochemicals - Indian,1661.05,128.81,499.3,639.23,880.23,7570.76
TIMETECHNO,Plastics Products,328.6,476.47,795.24,905.3,1225.73,7456.9
LORDSCHLO,Chlor Alkali / Soda Ash,132.5,64.34,67.31,80.58,34.85,333.24
LOTUSEYE,Healthcare,57.81,1.15,7.3,8.39,9.84,120.25
MARKSANS,Pharmaceuticals - Indian - Formulations,164.45,259.54,565.92,591.32,594.6,7452.29
PDSL,Trading,555.9,836.47,1414.28,1462.4,1614.78,7340.74
LYKALABS,Pharmaceuticals - Indian - Bulk Drugs & Formln,108.5,79.54,91.3,121.26,193.49,359.03
LYPSAGEMS,Trading,5.69,14.43,20.3,20.93,22.75,16.77
MKPL,Solvent Extraction,12.48,7.07,8.04,2.47,2.24,468.45
SUPRAJIT,Auto Ancillaries,518.05,434.84,736.38,1014.67,1166.64,7172.96
TCI,Miscellaneous,919.4,562.64,842.82,865.96,849.81,7147.79
MAANALU,Aluminium and Aluminium Products,143.55,47.38,42.99,65.3,24.46,776.4
MANINFRA,Construction,192.5,1211.2,1410.61,1236.55,1111.89,7146.6
MAGNUM,Paper,50,83.03,86.48,92.03,238.59,294.43
GABRIEL,Auto Ancillaries,486.55,165.21,377.99,436.28,649.77,6989.03
MHLXMIRU,Textiles - Processing,200.5,29.14,50.3,51.01,68.35,212.93
JAICORPLTD,Plastics Products,387,220.22,381.83,490.94,697.37,6905.99
SURYAROSNI,Steel - Large,631.95,966.18,1672.31,1777.19,2295.93,6876.72
SHARDAMOTR,Auto Ancillaries,2300,229.41,309.96,444.85,765.08,6838.28
MANAKSIA,Trading,99.1,315.96,548.65,787.47,1459.3,649.62
MANAV,Construction,19.35,7.57,9.67,2.83,7.58,13.23
MANGALAM,Pharmaceuticals - Indian - Bulk Drugs & Formln,104.95,9.82,29.74,50.75,75.15,166.1
JKIL,Construction,896.85,352.61,674.4,570.86,435.54,6786.05
STLTECH,Cables - Telephone,139,413,910.3,1011.37,520.65,6777.75
IFBIND,Domestic Appliances,1661.7,299.39,460.56,548.33,562.11,6733.2
KRBL,Food - Processing - Indian,291.4,242,1766.31,1653.81,2148.29,6669.84
TIIL,Steel - Medium / Small,2890.8,146.64,420.35,206.65,327.5,6637.76
BBOX,Computers - Software - Medium / Small,393,220.88,1586.79,1263.19,1302.66,6605.35
CSBBANK,Banks - Private Sector,379.15,2895.31,3060.02,2153.68,1981.44,6577.73
NESCO,Construction,930.35,571.13,794.52,822,856.85,6555.26
SUDARSCHEM,Dyes And Pigments,946.9,427.26,333.46,363.1,527.07,6555.15
MAZDA,Engineering,1375.85,51.75,71.41,72.28,85.89,551.03
MCLEODRUSS,Tea,27.1,220.88,598.25,1508.59,1579.19,283.06
EPL,Packaging,203.25,478.8,1192.7,1454.86,1895.25,6471.04
MEGASOFT,Pharmaceuticals - Indian - Bulk Drugs & Formln,67.31,75.06,102.58,119.65,160.49,496.56
MELSTAR,Computers - Software - Medium / Small,4.75,2.57,5.25,3.02,4.84,6.79
MENONBE,Bearings,139.15,82.11,116.17,121.37,137.24,779.79
MEP,Construction,8.01,1209.67,2489.19,3292.65,4358.83,147.34
SIS,Miscellaneous,447.75,422.19,1139.17,1424.5,1493.89,6453.41
ASHOKA,Engineering - Turnkey Services,225.75,1139.89,2179.45,2341.68,2681.8,6337.33
MILTON,Miscellaneous,46.8,1.91,9.52,3.66,4.12,79.54
GULFOILLUB,Chemicals,1284.95,529.27,933.21,903.73,1191.52,6321.41
RSYSTEMS,Computers - Software - Medium / Small,527.65,313.31,466.4,422.46,543.89,6242.32
MINDTECK,Computers - Software - Medium / Small,308.75,52.99,98.82,86.25,111.25,785.19
MIRCELECTR,Electronics - Consumer,20.88,5.64,30.45,63,207.88,482.22
MODTHREAD,Textiles - Spinning - Synthetic / Blended,63,13.37,21.91,22.02,40.5,219.12
MHHL,Healthcare,64,35.57,51.82,58.14,52.67,116.7
GAEL,Solvent Extraction,135.45,372.73,679.58,1160.07,1195.04,6212.69
MOLDTECH,Engineering - Turnkey Services,258.45,62.83,93.19,96.01,104.53,738.23
VSTIND,Cigarettes,3991.4,82.04,631.65,1272.92,1548.37,6162.74
MOTOGENFIN,Miscellaneous,34.6,3.21,3.81,28.83,36.64,134
RALLIS,Pesticides / Agrochemicals - Indian,316,204.55,535.32,514.22,1011.86,6145.24
DBCORP,Entertainment / Electronic Media Software,343.1,1096.48,1728.55,2084.54,2887.68,6112.6
MRO-TEK,Construction,76.99,110.9,86.7,82.76,78.69,143.81
GMMPFAUDLR,Engineering,1354.3,490.21,560.72,618.2,660.12,6088.54
MSPL,Steel - Medium / Small,26.49,236.57,488.57,727.77,806.29,1020.95
PTC,Trading,204.9,9061.44,14457.7,12593.08,9134.02,6065.25
MUKTAARTS,Entertainment / Electronic Media Software,70,26.25,70.8,98.37,64.05,158.09
MUNJALSHOW,Auto Ancillaries,158.25,24.57,47.31,163.85,327.44,632.92
RADIOCITY,Entertainment / Electronic Media Software,16.05,58.29,107.19,187.92,79.24,554.82
NAGAFERT,Fertilizers,12.78,355.4,544.45,1124.58,1861.86,764.31
NAGREEKCAP,Finance & Investments,28.47,19.85,111.39,120.76,13.46,35.93
NAGREEKEXP,Textiles - Cotton/Blended,33.9,46.58,42.21,66.71,147.15,105.93
NAHARINDUS,Textiles - Cotton/Blended,138.4,293.4,478.96,587.76,1055.93,597.98
MSTCLTD,Trading,848.45,570.84,1404.14,1468.26,880.8,5973.08
NDL,Textiles - Products,47.85,369.98,510.95,591.66,495.28,689.7
KIRLOSIND,Finance & Investments,5996.6,317.63,219.87,187.5,368.68,5958.77
ORCHPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,1159.45,290.74,390.58,399,1966.58,5880.63
VMART,Trading,2972.05,7.54,147.93,193.56,247.25,5877.81
GRWRHITECH,Packaging,2476.95,371.33,555.58,794.1,1009.65,5754.51
ICRA,Miscellaneous,5900,282.09,373.64,517.19,701.1,5694.23
ORIENTCEM,Cement - South India,270.7,800.64,1679.14,1971.36,1253.69,5545.79
JCHAC,Air-conditioners,2038.8,41.68,363.93,243,341.8,5543.45
TIPSINDLTD,Entertainment / Electronic Media Software,431.1,340.72,413.24,490.62,590.39,5536.49
NECLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,31.71,488.42,727.47,963.42,1287.66,711.15
TDPOWERSYS,Electric Equipment,351.95,108.63,149.01,175.34,149.67,5496.89
VAIBHAVGBL,Diamond Cutting / Jewellery,330.2,112.52,564.97,771.78,847.16,5476.16
RAIN,Miscellaneous,160.75,3165.36,4976.91,5957.14,8686.97,5406.84
BBL,Electric Equipment,4705,219.47,225.88,250.98,207.64,5318.08
GHCL,Chemicals,554.35,1502.74,2431.44,2996.11,3620.2,5308.15
HERITGFOOD,Food - Processing - Indian,557.9,233.19,349.18,354.28,440.44,5177.1
WONDERLA,Recreation / Amusement Parks,912.2,113.82,133.52,176.48,77.34,5160.62
NILAINFRA,Construction,12.61,191.86,238.1,221.66,158.03,496.69
HEIDELBERG,Cement - North India,223.75,730.62,1539.73,2249.65,2767.25,5070.51
NIRAJ,Construction,51.76,32.14,8.87,68.01,18.82,207.84
NITCO,Trading,79.99,1.38,41.93,419.54,446.03,574.8
DYNAMATECH,Engineering,7377.7,289.87,559.22,719.9,909.61,5010.51
TEAMLEASE,Miscellaneous,2980,184.5,472,525.33,574.54,4997.15
VRLLOG,Miscellaneous,568.9,247.62,623.54,764.79,1241.08,4976.07
NOIDATOLL,Construction,13.53,20.87,30.13,25.61,152.86,251.94
JAMNAAUTO,Auto Ancillaries,124.05,146.96,127.91,329.59,468.85,4948.84
BANCOINDIA,Auto Ancillaries,690,216.51,367.67,438,635.67,4934.81
BHARATRAS,Pesticides / Agrochemicals - Indian,11865.95,84.48,448.21,345.01,426.55,4930.61
AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,525.5,20.76,311.97,387.23,486.12,4831.16
SHANTIGEAR,Engineering,624.9,95.48,149.44,202.52,271.28,4793.98
OILCOUNTUB,Steel - Medium / Small,37.8,125.26,111.02,168.35,218.1,167.42
KSCL,Miscellaneous,931.95,539.98,893.96,1086.79,1545.75,4793.87
OMAXAUTO,Auto Ancillaries,148,182.11,149.88,156.86,176.93,316.57
TI,Breweries & Distilleries,248.5,234.92,510.71,760.95,913.82,4791.19
OMFURN,Miscellaneous,72,2.81,10.82,0.21,4.95,84.78
ONWARDTEC,Computers - Software - Medium / Small,409.45,33.51,79.93,97.07,131.38,924.52
TCIEXP,Miscellaneous,1239.3,153.01,261.88,331.29,196.15,4751.78
THANGAMAYL,Diamond Cutting / Jewellery,1729.85,177.23,178.72,195.28,407.69,4746.52
ORBTEXP,Textiles - Processing,182.15,56.48,75.57,109.34,158.23,482.09
NOCIL,Chemicals,279.8,370.17,436.73,418.99,725.84,4662.76
ORIENTCER,Refractories / Intermediates,50.75,25.2,83.38,80.38,73.44,607.17
BALMLAWRIE,Diversified - Large,270.5,364.35,705.02,730.79,1054.87,4625.64
GREENPOWER,Power Generation And Supply,20.34,716.08,1184.72,1850.37,2555.45,1994.79
ORIENTLTD,Packaging,107.98,4.7,16.65,16.21,32.25,107.98
SANGHVIMOV,Miscellaneous,1067.75,149.78,467.83,681.11,747.32,4623.32
OCCL,Chemicals,209,172.29,247.29,351.15,433.56,208.8
AGI,Packaging,703.9,283.11,519.45,245.02,640.41,4554.07
ORIENTALTL,Trading,10.91,4.39,18.86,15.35,55.63,32.09
OBCL,Miscellaneous,61.8,25.72,33.2,25.09,30.75,130.28
ORTINLAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,19.8,9.61,27.92,32.07,30.6,16.09
LGBBROSLTD,Auto Ancillaries,1443,432.77,738.51,692.31,792.48,4529.89
KKCL,Textiles - Products,728.9,233.46,367.28,401.94,558.93,4491.86
BOMDYEING,Textiles - Manmade,211.25,1681.32,2429.78,1442.86,1216.68,4363.03
PAKKA,Paper,249.4,39.08,90.97,128.64,150.01,976.85
SUBROS,Auto Ancillaries,668.5,122.2,355.4,413.17,574.53,4361.01
PAR,Pharmaceuticals - Indian - Bulk Drugs,245.87,24.55,42.67,48.11,70.5,302.54
PARSVNATH,Construction,13.33,1107.39,2802.34,3982.7,4028.1,580.11
PASHUPATI,Textiles - Cotton/Blended,480,95.02,102.74,97.32,152.79,733.63
PASUPTAC,Textiles - Manmade,37.98,2.28,1.3,85.59,160.33,338.52
SHARDACROP,Pesticides / Agrochemicals - Indian,476.5,186.91,172.45,400.76,602.13,4299.04
PATELENG,Construction,65.92,1432.27,2067.76,3142.84,3447.31,5566.13
HIKAL,Pharmaceuticals - Indian - Bulk Drugs,346.2,16.69,215.05,305.35,543.97,4268.67
FCL,Chemicals,385,128.1,135.14,142.8,177.67,4264.47
PEARLPOLY,Trading,32.35,47.86,55.65,65.59,90.49,54.44
PENINLAND,Construction,70.58,830.07,1597.11,2314.3,1338.84,2178.8
ADVENZYMES,Pharmaceuticals - Indian - Bulk Drugs & Formln,378.65,297.01,531,752.46,979.02,4234.25
IMFA,Mining / Minerals / Metals,755.1,1089.46,1398.56,1684.38,2360.79,4074.05
TIDEWATER,Chemicals,2329.8,282.17,434.11,576.37,845.45,4059.46
PLASTIBLEN,Chemicals,269.05,99.77,180.63,227.64,233.92,699.24
RAMKY,Construction,585.8,2922.29,3366.48,4114.54,4515.63,4053.6
BANARISUG,Sugar,3220,527.6,536.73,883.87,1308.9,4037.78
KDDL,Miscellaneous,3190.8,15.13,118.83,73.45,70.69,4000.35
LUMAXTECH,Auto Ancillaries,585,267.18,386.35,399.75,452.3,3987.25
ISMTLTD,Steel - Medium / Small,131.65,135.3,230.03,329.76,62.54,3956.1
HGS,Computers - Software - Medium / Small,850.25,541.39,1851.43,2057.53,2209.47,3955.39
PRAENG,Construction,31.33,26.04,35.17,65.84,118.79,219.13
MAHLOG,Miscellaneous,543.95,321.78,570.16,605.69,481.19,3919.18
PRAKASHSTL,Steel - Medium / Small,9.66,71.75,72,53.61,111.07,169.06
SKIPPER,Engineering,357.25,275.77,539.22,663.97,855.74,3876.8
SOTL,Petrochemicals,559.95,406.51,686.52,894.61,1115.08,3869.29
PRECOT,Textiles - Cotton/Blended,530.9,68.33,164.34,248.06,409.73,637.08
BAJAJCON,Personal Care - Indian,269.2,324.99,732.96,1061.52,1620.38,3844.01
PREMIERPOL,Plastics Products,209.5,17.23,34.4,34.91,20.32,438.86
HONDAPOWER,Electric Equipment,3787.05,233.07,331.68,374.25,506.94,3840.07
NUCLEUS,Computers - Software - Medium / Small,1429.9,274.31,448.89,566.27,712.65,3828.34
DATAMATICS,Computers - Software - Medium / Small,646.3,424.88,583.25,658.04,795.65,3815.2
PRIMESECU,Finance & Investments,209.65,6.69,58.67,61.59,54.67,703.33
STYRENIX,Petrochemicals,2145.4,778.51,1232.52,1248.3,1212.5,3773.75
CIGNITITEC,Computers - Software - Medium / Small,1367.55,286.05,507.31,657.74,549.05,3733.45
PROLIFE,Dyes And Pigments,199.5,15.58,29.45,32.9,32,81.68
GIPCL,Power Generation And Supply,241.2,657.61,941.22,1237.67,1542.67,3648.14
PFS,Finance & Investments,46.97,7169.5,11708.34,10629.64,7816.69,3016.82
PTL,Miscellaneous,46.38,103.3,199.71,289.74,395.19,614
VSTTILLERS,Automobiles - Tractors,4192.9,149.92,315.04,279.81,407.86,3622.47
PULZ,Electronics - Consumer,108,3.8,4.8,3.33,4.51,117.76
THYROCARE,Healthcare,680.35,278.58,483.23,647.23,809.88,3602.63
LAOPALA,Glass & Glass Products,324.55,205.73,284.12,363.73,476.37,3602.52
PVP,Construction,24.39,305.26,329.01,305.57,436.7,635.16
THEJO,Engineering,3289.95,52.82,106.71,135.41,137.04,3567.04
DELTACORP,Recreation / Amusement Parks,132.15,93.2,388.9,511.42,804.12,3538.59
NAVNETEDUL,Printing & Stationery,155.55,119.8,601.84,678.1,988.84,3518.78
PGIL,Textiles - Products,805.8,412.01,443.93,456.03,413.1,3513.08
MAITHANALL,Mining / Minerals / Metals,1186.25,635.37,702.15,1282.93,1577.75,3453.36
SWARAJENG,Engines,2836.6,300.7,407.26,509.44,660.67,3445.7
